35,C3_BIOMASS (µg C m-3 depth vol.),1,double,Biomass (normalized),µg C/m3,C3 biomass (carbon) normalized by depth-calculated filtered volume.
36,C3_BIOMASS (µg C m-3 flowmeter vol.),1,double,Biomass (normalized),µg C/m3,C3 biomass (carbon) normalized by flowmeter-calculated filtered volume.
37,C4_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,C4 (copepodid stage 4) abundance as number of individuals attributed to the sample.
38,C4_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,C4 abundance normalized by depth-calculated filtered volume.
39,C4_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,C4 abundance normalized by flowmeter-calculated filtered volume.
40,C4_BIOMASS (µg C m-3 depth vol.),1,double,Biomass (normalized),µg C/m3,C4 biomass (carbon) normalized by depth-calculated filtered volume.
41,C4_BIOMASS (µg C m-3 flowmeter vol.),1,double,Biomass (normalized),µg C/m3,C4 biomass (carbon) normalized by flowmeter-calculated filtered volume.
42,C5_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,C5 (copepodid stage 5) abundance as number of individuals attributed to the sample.
43,C5_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,C5 abundance normalized by depth-calculated filtered volume.
44,C5_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,C5 abundance normalized by flowmeter-calculated filtered volume.
45,C5_BIOMASS (µg C m-3 depth vol.),1,double,Biomass (normalized),µg C/m3,C5 biomass (carbon) normalized by depth-calculated filtered volume.
46,C5_BIOMASS (µg C m-3 flowmeter vol.),1,double,Biomass (normalized),µg C/m3,C5 biomass (carbon) normalized by flowmeter-calculated filtered volume.
47,M_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,Adult male abundance as number of individuals attributed to the sample.
48,M_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,Adult male abundance normalized by depth-calculated filtered volume.
49,M_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,Adult male abundance normalized by flowmeter-calculated filtered volume.
50,M_BIOMASS (µg C m-3 depth vol.),1,double,Biomass (normalized),µg C/m3,Adult male biomass (carbon) normalized by depth-calculated filtered volume.
51,M_BIOMASS (µg C m-3 flowmeter vol.),1,double,Biomass (normalized),µg C/m3,Adult male biomass (carbon) normalized by flowmeter-calculated filtered volume.
52,F_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,Adult female abundance as number of individuals attributed to the sample.
53,F_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,Adult female abundance normalized by depth-calculated filtered volume.
54,F_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,Adult female abundance normalized by flowmeter-calculated filtered volume.
55,F_BIOMASS (µg C m-3 depth vol.),1,double,Biomass (normalized),µg C/m3,Adult female biomass (carbon) normalized by depth-calculated filtered volume.
56,F_BIOMASS (µg C m-3 flowmeter vol.),1,double,Biomass (normalized),µg C/m3,Adult female biomass (carbon) normalized by flowmeter-calculated filtered volume.
57,COP_NS_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,Copepod not specified stage (Cop_NS) abundance as number of individuals attributed to the sample.
58,COP_NS_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,Cop_NS abundance normalized by depth-calculated filtered volume.
59,COP_NS_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,Cop_NS abundance normalized by flowmeter-calculated filtered volume.
60,COP_NS_BIOMASS (µg C m-3 depth vol.),1,double,Biomass (normalized),µg C/m3,Cop_NS biomass (carbon) normalized by depth-calculated filtered volume.
61,COP_NS_BIOMASS (µg C m-3 flowmeter vol.),1,double,Biomass (normalized),µg C/m3,Cop_NS biomass (carbon) normalized by flowmeter-calculated filtered volume.
62,COPEPODID_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,Copepodid aggregate abundance (all copepodid stages combined) as number of individuals attributed to the sample.
63,COPEPODID_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,Copepodid aggregate abundance normalized by depth-calculated filtered volume.
64,COPEPODID_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,Copepodid aggregate abundance normalized by flowmeter-calculated filtered volume.
65,COPEPODID_BIOMASS (µg C m-3 depth vol.),1,double,Biomass (normalized),µg C/m3,Copepodid aggregate biomass (carbon) normalized by depth-calculated filtered volume.
66,COPEPODID_BIOMASS (µg C m-3 flowmeter vol.),1,double,Biomass (normalized),µg C/m3,Copepodid aggregate biomass (carbon) normalized by flowmeter-calculated filtered volume.
67,N1_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,N1 (nauplius stage 1) abundance as number of individuals attributed to the sample.
68,N1_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,N1 abundance normalized by depth-calculated filtered volume.
69,N1_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,N1 abundance normalized by flowmeter-calculated filtered volume.
70,N2_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,N2 (nauplius stage 2) abundance as number of individuals attributed to the sample.
71,N2_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,N2 abundance normalized by depth-calculated filtered volume.
72,N2_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,N2 abundance normalized by flowmeter-calculated filtered volume.
73,N3_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,N3 (nauplius stage 3) abundance as number of individuals attributed to the sample.
74,N3_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,N3 abundance normalized by depth-calculated filtered volume.
75,N3_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,N3 abundance normalized by flowmeter-calculated filtered volume.
76,N4_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,N4 (nauplius stage 4) abundance as number of individuals attributed to the sample.
77,N4_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,N4 abundance normalized by depth-calculated filtered volume.
78,N4_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,N4 abundance normalized by flowmeter-calculated filtered volume.
79,N5_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,N5 (nauplius stage 5) abundance as number of individuals attributed to the sample.
80,N5_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,N5 abundance normalized by depth-calculated filtered volume.
81,N5_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,N5 abundance normalized by flowmeter-calculated filtered volume.
82,N6_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,N6 (nauplius stage 6) abundance as number of individuals attributed to the sample.
83,N6_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,N6 abundance normalized by depth-calculated filtered volume.
84,N6_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,N6 abundance normalized by flowmeter-calculated filtered volume.
85,NAUP_NS_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,Nauplius not specified stage (Naup_NS) abundance as number of individuals attributed to the sample.
86,NAUP_NS_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,Naup_NS abundance normalized by depth-calculated filtered volume.
87,NAUP_NS_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,Naup_NS abundance normalized by flowmeter-calculated filtered volume.
88,NAUPLIUS_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,Nauplius aggregate abundance (all nauplius stages combined) as number of individuals attributed to the sample.
89,NAUPLIUS_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,Nauplius aggregate abundance normalized by depth-calculated filtered volume.
90,NAUPLIUS_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,Nauplius aggregate abundance normalized by flowmeter-calculated filtered volume.
91,ALL_STAGES_SAMPLE_ABUND (nbr of ind.),1,double,Abundance (counts),individuals,All stages combined abundance as number of individuals attributed to the sample.
92,ALL_STAGES_ABUND (ind./m3 depth vol.),1,double,Abundance (normalized),ind./m3,All stages combined abundance normalized by depth-calculated filtered volume.
93,ALL_STAGES_ABUND (ind./m3 flowmeter vol.),1,double,Abundance (normalized),ind./m3,All stages combined abundance normalized by flowmeter-calculated filtered volume.
