SAMPLE_ID,ANALYSIS_ID,ANALYSIS_CONTRACT,STATION_NAME,DEPLOYMENT_DATE_START,DEPLOYMENT_TIME_START,CAST_NUMBER,GEAR,TOW_TYPE,NET_MESH_SIZE,SAMPLING_NET_ID,MIN_SAMPLE_DEPTH,MAX_SAMPLE_DEPTH,DEPTH_CALC_NET_FILTERED_VOL,FLOWMETER_CALC_VOL,TAXON_ID,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,C1_SAMPLE_ABUND (nbr of ind.),C1_ABUND (ind./m3 depth vol.),C1_ABUND (ind./m3 flowmeter vol.),C1_BIOMASS (µg C m-3 depth vol.),C1_BIOMASS (µg C m-3 flowmeter vol.),C2_SAMPLE_ABUND (nbr of ind.),C2_ABUND (ind./m3 depth vol.),C2_ABUND (ind./m3 flowmeter vol.),C2_BIOMASS (µg C m-3 depth vol.),C2_BIOMASS (µg C m-3 flowmeter vol.),C3_SAMPLE_ABUND (nbr of ind.),C3_ABUND (ind./m3 depth vol.),C3_ABUND (ind./m3 flowmeter vol.),C3_BIOMASS (µg C m-3 depth vol.),C3_BIOMASS (µg C m-3 flowmeter vol.),C4_SAMPLE_ABUND (nbr of ind.),C4_ABUND (ind./m3 depth vol.),C4_ABUND (ind./m3 flowmeter vol.),C4_BIOMASS (µg C m-3 depth vol.),C4_BIOMASS (µg C m-3 flowmeter vol.),C5_SAMPLE_ABUND (nbr of ind.),C5_ABUND (ind./m3 depth vol.),C5_ABUND (ind./m3 flowmeter vol.),C5_BIOMASS (µg C m-3 depth vol.),C5_BIOMASS (µg C m-3 flowmeter vol.),M_SAMPLE_ABUND (nbr of ind.),M_ABUND (ind./m3 depth vol.),M_ABUND (ind./m3 flowmeter vol.),M_BIOMASS (µg C m-3 depth vol.),M_BIOMASS (µg C m-3 flowmeter vol.),F_SAMPLE_ABUND (nbr of ind.),F_ABUND (ind./m3 depth vol.),F_ABUND (ind./m3 flowmeter vol.),F_BIOMASS (µg C m-3 depth vol.),F_BIOMASS (µg C m-3 flowmeter vol.),COP_NS_SAMPLE_ABUND (nbr of ind.),COP_NS_ABUND (ind./m3 depth vol.),COP_NS_ABUND (ind./m3 flowmeter vol.),COP_NS_BIOMASS (µg C m-3 depth vol.),COP_NS_BIOMASS (µg C m-3 flowmeter vol.),COPEPODID_SAMPLE_ABUND (nbr of ind.),COPEPODID_ABUND (ind./m3 depth vol.),COPEPODID_ABUND (ind./m3 flowmeter vol.),COPEPODID_BIOMASS (µg C m-3 depth vol.),COPEPODID_BIOMASS (µg C m-3 flowmeter vol.),N1_SAMPLE_ABUND (nbr of ind.),N1_ABUND (ind./m3 depth vol.),N1_ABUND (ind./m3 flowmeter vol.),N2_SAMPLE_ABUND (nbr of ind.),N2_ABUND (ind./m3 depth vol.),N2_ABUND (ind./m3 flowmeter vol.),N3_SAMPLE_ABUND (nbr of ind.),N3_ABUND (ind./m3 depth vol.),N3_ABUND (ind./m3 flowmeter vol.),N4_SAMPLE_ABUND (nbr of ind.),N4_ABUND (ind./m3 depth vol.),N4_ABUND (ind./m3 flowmeter vol.),N5_SAMPLE_ABUND (nbr of ind.),N5_ABUND (ind./m3 depth vol.),N5_ABUND (ind./m3 flowmeter vol.),N6_SAMPLE_ABUND (nbr of ind.),N6_ABUND (ind./m3 depth vol.),N6_ABUND (ind./m3 flowmeter vol.),NAUP_NS_SAMPLE_ABUND (nbr of ind.),NAUP_NS_ABUND (ind./m3 depth vol.),NAUP_NS_ABUND (ind./m3 flowmeter vol.),NAUPLIUS_SAMPLE_ABUND (nbr of ind.),NAUPLIUS_ABUND (ind./m3 depth vol.),NAUPLIUS_ABUND (ind./m3 flowmeter vol.),ALL_STAGES_SAMPLE_ABUND (nbr of ind.),ALL_STAGES_ABUND (ind./m3 depth vol.),ALL_STAGES_ABUND (ind./m3 flowmeter vol.)
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,370,404.55,Pseudocalanus elongatus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,0,0,0,0,0,0,0,0,0,0,470.5882353,1.271860095,1.163238747,1.267662957,1.15940006,0,0,0,0,0,3764.705882,10.17488076,9.30590998,30.52331955,27.91652017,470.5882353,1.271860095,1.163238747,4.180794913,3.823740249,13176.47059,35.61208267,32.57068493,227.8094245,208.3536944,0,0,0,0,0,17882.35294,48.33068362,44.2030724,263.7812019,241.2533549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17882.35294,48.33068362,44.2030724
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,370,404.55,Pseudocalanus minutus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941.1764706,2.543720191,2.326477495,4.426861685,4.048792049,1411.764706,3.815580286,3.489716242,11.44624483,10.46869506,941.1764706,2.543720191,2.326477495,8.361589825,7.647480498,3294.117647,8.903020668,8.142671232,56.95235612,52.08842359,0,0,0,0,0,6588.235294,17.80604134,16.28534246,81.18705246,74.2533912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6588.235294,17.80604134,16.28534246
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,370,404.55,Pseudocalanus spp.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,8941.176471,24.16534181,22.1015362,6.751071542,6.174506169,4705.882353,12.71860095,11.63238747,7.505119237,6.864155525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13647.05882,36.88394277,33.73392368,14.25619078,13.03866169,0,0,0,0,0,0,6117.647059,16.53418124,15.12210372,16000,43.24324324,39.55011741,14117.64706,38.15580286,34.89716242,12705.88235,34.34022258,31.40744618,0,0,0,48941.17647,132.2734499,120.9768297,62588.23529,169.1573927,154.7107534
21916,82,Legacy Labo Fortier,350,2010-07-09,17:11:50,1,4x1m2,V-Tow,200,2,0,370,370,404.55,Triconia borealis,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2352.941176,6.359300477,5.816193737,7.899014308,7.224410565,0,0,0,0,0,2352.941176,6.359300477,5.816193737,7.899014308,7.224410565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2352.941176,6.359300477,5.816193737
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Calanus glacialis,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,4484,61.42465753,1928.602151,135.2134844,4245.412628,1740,23.83561644,748.3870968,233.7744822,7340.016,2384,32.65753425,1025.376344,961.8398225,30199.70195,20,0.273972603,8.602150538,28.37738082,890.9887312,452,6.191780822,194.4086022,1882.085896,59093.44963,0,0,0,0,0,236,3.232876712,101.5053763,2139.610075,67179.15503,0,0,0,0,0,9316,127.6164384,4006.88172,5380.90114,168948.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9316,127.6164384,4006.88172
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Calanus hyperboreus,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,0,0,0,0,0,0,0,0,0,0,12,0.164383562,5.161290323,36.76317863,1154.284748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.054794521,1.720430108,144.1074696,4524.664637,0,0,0,0,0,16,0.219178082,6.88172043,180.8706482,5678.949385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.219178082,6.88172043
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Calanus spp.,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,15.34246575,481.7204301,3360,46.02739726,1445.16129,3920,53.69863014,1686.021505,8,0.109589041,3.440860215,8408,115.1780822,3616.344086,8408,115.1780822,3616.344086
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Metridia longa,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.164383562,5.161290323,11.49215671,360.8290065,44,0.602739726,18.92473118,56.59411397,1776.933471,80,1.095890411,34.40860215,232.5225205,7300.707097,0,0,0,0,0,136,1.863013699,58.49462366,300.6087912,9438.469574,0,0,0,1120,15.34246575,481.7204301,0,0,0,2240,30.68493151,963.4408602,560,7.671232877,240.8602151,560,7.671232877,240.8602151,4,0.054794521,1.720430108,4484,61.42465753,1928.602151,4620,63.28767123,1987.096774
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Microcalanus pusillus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,2240,30.68493151,963.4408602,7.026849315,220.627957,1680,23.01369863,722.5806452,8.126827397,255.1649032,560,7.671232877,240.8602151,3.683342466,115.6490323,6720,92.05479452,2890.322581,77.83048767,2443.709935,10640,145.7534247,4576.344086,188.5131068,5918.906151,2800,38.35616438,1204.301075,49.60871233,1557.606882,24640,337.5342466,10597.84946,484.4426521,15210.45746,0,0,0,0,0,49280,675.0684932,21195.69892,819.2319781,25722.12232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49280,675.0684932,21195.69892
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Microcalanus pygmaeus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.054794521,1.720430108,0.078643288,2.469230108,0,0,0,0,0,36,0.493150685,15.48387097,0.904946301,28.41336774,0,0,0,0,0,40,0.547945205,17.20430108,0.983589589,30.88259785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.547945205,17.20430108
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Microsetella sp.,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.054794521,1.720430108,NA,NA,0,0,0,0,0,4,0.054794521,1.720430108,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.054794521,1.720430108
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Oithona similis,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,560,7.671232877,240.8602151,1.098136986,34.47913978,0,0,0,0,0,0,0,0,0,0,2240,30.68493151,963.4408602,10.54549041,331.1057204,3920,53.69863014,1686.021505,26.06531507,818.3948387,560,7.671232877,240.8602151,4.098816438,128.6940215,20776,284.6027397,8935.913978,198.1745797,6222.255622,0,0,0,0,0,28056,384.3287671,12067.09677,239.9823386,7534.929342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28056,384.3287671,12067.09677
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Oncaea notopus/parila,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,7.726027397,242.5806452,5.43989589,170.8010323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,7.726027397,242.5806452,5.43989589,170.8010323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,7.726027397,242.5806452
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Pseudocalanus acuspes,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,0,0,0,0,0,0,0,0,0,0,1120,15.34246575,481.7204301,15.29183562,480.1307527,2828,38.73972603,1216.344086,67.4191326,2116.815776,2824,38.68493151,1214.623656,116.0497655,3643.713067,0,0,0,0,0,8,0.109589041,3.440860215,0.701037808,22.01107957,0,0,0,0,0,6780,92.87671233,2916.129032,199.4617715,6262.670675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6780,92.87671233,2916.129032
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Pseudocalanus elongatus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,0,0,0,0,0,0,0,0,0,0,560,7.671232877,240.8602151,7.645917808,240.0653763,1120,15.34246575,481.7204301,26.70064658,838.3428817,1128,15.45205479,485.1612903,46.35415562,1455.4208,0,0,0,0,0,2828,38.73972603,1216.344086,247.8168652,7780.916628,0,0,0,0,0,5636,77.20547945,2424.086022,328.5175852,10314.74569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5636,77.20547945,2424.086022
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Pseudocalanus minutus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,6160,84.38356164,2649.462366,23.57423562,740.1803011,7280,99.7260274,3131.182796,58.84733151,1847.679656,4492,61.53424658,1932.043011,61.33118356,1925.667269,2820,38.63013699,1212.903226,67.2284137,2110.827613,1700,23.28767123,731.1827957,69.8599863,2193.453333,0,0,0,0,0,1136,15.56164384,488.6021505,99.54736877,3125.573299,0,0,0,0,0,23588,323.1232877,10145.37634,380.3885195,11943.38147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23588,323.1232877,10145.37634
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Pseudocalanus spp.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,7.671232877,240.8602151,5040,69.04109589,2167.741935,2800,38.35616438,1204.301075,3360,46.02739726,1445.16129,1120,15.34246575,481.7204301,4,0.054794521,1.720430108,12884,176.4931507,5541.505376,12884,176.4931507,5541.505376
21927,83,Legacy Labo Fortier,699,2010-07-11,04:36:30,1,4x1m2,V-Tow,200,2,0,73,73,2.325,Triconia borealis,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,7.671232877,240.8602151,2.800230137,87.9212043,16256,222.6849315,6991.827957,156.7924603,4922.946065,3364,46.08219178,1446.88172,25.39036603,797.2028903,15196,208.1643836,6535.913978,258.5651441,8118.389471,0,0,0,0,0,35376,484.6027397,15215.48387,443.5482005,13926.45963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35376,484.6027397,15215.48387
21942,84,Legacy Labo Fortier,702,2010-07-13,15:01:30,1,4x1m2,V-Tow,200,2,0,123,123,83.7,Acartia spp.,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,800,6.504065041,9.557945042,1.448260163,2.128267622,1600,13.00813008,19.11589008,7.511154472,11.03789725,2800,22.76422764,33.45280765,24.98328455,36.71378734,1200,9.756097561,14.33691756,18.87941463,27.74394265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6400,52.03252033,76.46356033,52.82211382,77.62389486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6400,52.03252033,76.46356033
21942,84,Legacy Labo Fortier,702,2010-07-13,15:01:30,1,4x1m2,V-Tow,200,2,0,123,123,83.7,Calanus glacialis,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,400,3.25203252,4.778972521,7.158666667,10.51990442,4,0.032520325,0.047789725,0.318952195,0.468711111,894,7.268292683,10.68100358,214.0680093,314.5802287,72,0.585365854,0.860215054,60.63069659,89.09887312,192,1.56097561,2.29390681,474.4822634,697.2678423,0,0,0,0,0,146,1.18699187,1.74432497,785.5850963,1154.444048,0,0,0,0,0,1708,13.88617886,20.40621266,1542.243684,2266.379608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708,13.88617886,20.40621266
